Security Code,Issuer Name,symbol,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,bseIndustry
540259,SHANGAR DECOR LIMITED,SHANGAR,Shangar Decor Ltd,Active,X ,5,INE118R01024,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
540266,Globe Commercials Limited,GLCL,Globe Commercials Ltd,Active,Z ,10,INE804Q01013,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
540267,Flora Corporation Limited,FLORACORP,Flora Corporation Ltd,Active,XT,10,INE318U01016,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
540268,TruCap Finance Limited,TRU,TruCap Finance Ltd,Active,T ,2,INE615R01029,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
540269,SUPER FINE KNITTERS LIMITED,SKL,Super Fine Knitters Ltd,Active,MT,10,INE459U01018,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
540270,Raideep Industries Limited,RAIDEEPIND,Raideep Industries Ltd,Active,XT,10,INE923R01019,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
540293,Pricol Limited,PRICOLLTD,Pricol Ltd,Active,A ,1,INE726V01018,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
540310,Classic Filaments Limited,CFL,Classic Filaments Ltd,Active,X ,10,INE181U01018,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
540311,JITF INFRALOGISTICS LIMITED,JITFINFRA,JITF Infralogistics Ltd,Active,B ,2,INE863T01013,Water Supply & Management,Equity,Utilities,Utilities,Other Utilities,Water Supply & Management
540318,Sueryaa Knitwear Limited,SUERYAAKNI,Sueryaa Knitwear Ltd,Active,XT,10,INE249U01013,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
540332,Tanvi Foods (India) Limited,TANVI,Tanvi Foods (India) Ltd,Active,M ,10,INE978V01015,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
540358,RMC SWITCHGEARS LIMITED,RMC,RMC Switchgears Ltd,Active,M ,10,INE655V01019,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
540359,Parmax Pharma Limited,PARMAX,Parmax Pharma Ltd,Active,XT,10,INE240T01014,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
540360,LEADING LEASING FINANCE AND INVESTMENT CO. LIMITED,LLFICL,Leading Leasing Finance And Investment Company Ltd,Active,XT,1,INE715Q01029,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
540361,DANUBE INDUSTRIES LIMITED,DANUBE,Danube Industries Ltd,Active,X ,2,INE575D01041,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
540366,Music Broadcast Limited,RADIOCITY,Music Broadcast Ltd,Active,B ,2,INE919I01024,Media & Entertainment,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Media & Entertainment
540376,Avenue Supermarts Limited,DMART,Avenue Supermarts Ltd,Active,A ,10,INE192R01011,Diversified Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
540377,IFL ENTERPRISES LIMITED,IFL,IFL Enterprises Ltd,Active,T ,1,INE714U01024,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
540386,Ontic Finserve Limited,ONTIC,Ontic Finserve Ltd,Active,XT,1,INE989S01042,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
540393,Sarthak Metals Limited,SMLT,Sarthak Metals Ltd,Active,B ,10,INE017W01010,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
540395,Chemcrux Enterprises Limited,CHEMCRUX,Chemcrux Enterprises Ltd,Active,B ,10,INE298W01016,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
540396,Manomay Tex India Limited,MANOMAY,Manomay Tex India Ltd,Active,T ,10,INE784W01015,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
540401,Maximus International Limited,MAXIMUS,Maximus International Ltd,Active,B ,1,INE544W01021,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
540402,Manas Properties Limited,MANAS,Manas Properties Ltd,Active,MT,10,INE800W01019,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
540403,CL Educate Limited,CLEDUCATE,CL Educate Ltd,Active,T ,5,INE201M01029,Education,Equity,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
540404,PRIME FRESH LIMITED,PRIMEFRESH,Prime Fresh Ltd,Active,M ,10,INE442V01012,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
540405,Oceanic Foods Limited,OCEANIC,Oceanic Foods Ltd,Active,X ,10,INE711V01010,Other Food Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products
540416,Octaware Technologies Limited,OCTAWARE,Octaware Technologies Ltd,Active,M ,10,INE208U01019,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services
540425,Shankara Building Products Limited,SHANKARA,Shankara Building Products Ltd,Active,B ,10,INE274V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
540455,Escorp Asset Management Limited,ESCORP,Escorp Asset Management Ltd,Active,MT,10,INE953W01016,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
540467,PARMESHWARI SILK MILLS LIMITED,PARMSILK,Parmeshwari Silk Mills Ltd,Active,X ,10,INE808R01012,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
540468,KMS Medisurgi Limited,KMSMEDI,KMS Medisurgi Ltd,Active,MT,10,INE870V01014,Medical Equipment & Supplies,Equity,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
540481,Classic Leasing & Finance Ltd.,CLFL,Classic Leasing & Finance Ltd,Active,XT,10,INE949C01016,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
540492,STARLINEPS ENTERPRISES LIMITED,STARLENT,Starlineps Enterprises Ltd,Active,T ,1,INE594W01042,Trading - Minerals,Equity,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals
540497,S Chand And Company Limited,SCHAND,S Chand and Company Ltd,Active,B ,5,INE807K01035,Printing & Publication,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Printing & Publication,Printing & Publication
540515,KANUNGO FINANCIERS LIMITED,KANUNGO,Kanungo Financiers Ltd,Active,XT,10,INE453S01015,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
540519,Meera Industries Limited,MEERA,Meera Industries Ltd,Active,T ,10,INE343X01018,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
540530,Housing &Urban Development Corporation Ltd.,HUDCO,Housing & Urban Development Corporation Ltd,Active,A ,10,INE031A01017,Financial Institution,Equity,Financial Services,Financial Services,Finance,Financial Institution
540544,PSP Projects Limited,PSPPROJECT,PSP Projects Ltd,Active,B ,10,INE488V01015,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
540545,Bhakti Gems And Jewellery Limited,BGJL,Bhakti Gems and Jewellery Ltd,Active,B ,10,INE986W01016,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
540550,Yug Decor Limited,YUG,Yug Decor Ltd,Active,M ,10,INE796W01019,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
540570,VARIMAN GLOBAL ENTERPRISES LIMITED,VARIMAN,Variman Global Enterprises Ltd,Active,X ,1,INE717F01028,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
540575,Star Cement Limited,STARCEMENT,Star Cement Ltd,Active,A ,1,INE460H01021,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
540590,Riddhi Corporate Services Limited,RIDDHICORP,Riddhi Corporate Services Ltd,Active,B ,10,INE325X01015,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services
540595,Tejas Networks Limited,TEJASNET,Tejas Networks Ltd,Active,A ,10,INE010J01012,Telecom -  Equipment & Accessories,Equity,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
540596,Eris Lifesciences Limited,ERIS,Eris Lifesciences Ltd,Active,A ,1,INE406M01024,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
540597,Containerway International Limited,CONTAINER,Containerway International Ltd,Active,XT,5,INE319U01022,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider
540602,GTPL Hathway Limited,GTPL,GTPL Hathway Ltd,Active,B ,10,INE869I01013,TV Broadcasting & Software Production,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
540611,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank
540612,ICICI Prudential Mutual Fund,LOWVOLIETF,ICICI Prudential Nifty 100 Low Volatility 30 ETF,Active,B ,1,INF109KC19U5, ,Equity,-,-,-,-
540613,Gautam Exim Limited,GEL,Gautam Exim Ltd,Active,MT,10,INE721X01015,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
540614,G G Engineering Limited,GGENG,G G Engineering Ltd,Active,B ,1,INE694X01030,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
540615,7NR Retail Limited,7NR,7NR Retail Ltd,Active,B ,10,INE413X01035,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
540642,Salasar Techno Engineering Limited,SALASAR,Salasar Techno Engineering Ltd,Active,B ,1,INE170V01027,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
540647,Ganges Securities Ltd.,GANGESSECU,Ganges Securities Ltd,Active,B ,10,INE335W01016,Tea & Coffee,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
540648,Palash Securities Limited,PALASHSECU,Palash Securities Ltd,Active,B ,10,INE471W01019,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
540649,AVADH SUGAR & ENERGY LIMITED,AVADHSUGAR,Avadh Sugar & Energy Ltd,Active,B ,10,INE349W01017,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
540650,Magadh Sugar & Energy Limited,MAGADSUGAR,Magadh Sugar & Energy Ltd,Active,B ,10,INE347W01011,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
540651,Jigar Cables Limited,JIGAR,Jigar Cables Ltd,Active,M ,10,INE943X01015,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
540652,Captain Technocast Limited,CTCL,Captain Technocast Ltd,Active,M ,10,INE931X01010,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
540654,GlobalSpace Technologies Limited,GSTL,Globalspace Technologies Ltd,Active,B ,10,INE632W01016,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
540669,UTI Mutual Fund,UTINEXT50,UTI Nifty Next 50 ETF,Active,B ,1,INF789F1AUW9, ,Equity,-,-,-,-
540673,SIS LIMITED,SIS,SIS Ltd,Active,A ,5,INE285J01028,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
540678,Cochin Shipyard Limited,COCHINSHIP,Cochin Shipyard Ltd,Active,T ,5,INE704P01025,Ship Building & Allied Services,Equity,Industrials,Capital Goods,Industrial Manufacturing,Ship Building & Allied Services
540679,SMS Lifesciences India Ltd,SMSLIFE,SMS Lifesciences India Ltd,Active,T ,10,INE320X01016,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
540680,KIOCL Limited,KIOCL,KIOCL Ltd,Active,A ,10,INE880L01014,Sponge Iron,Equity,Commodities,Metals & Mining,Ferrous Metals,Sponge Iron
540681,CHOTHANI FOODS LIMITED,CHOTHANI,Chothani Foods Ltd,Active,M ,10,INE344X01016,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
540686,Smruthi Organics Limited,SMRUTHIORG,Smruthi Organics Ltd,Active,X ,10,INE172E01011,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
540691,Aditya Birla Capital Ltd,ABCAPITAL,Aditya Birla Capital Ltd,Active,A ,10,INE674K01013,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
540692,Apex Frozen Foods Limited,APEX,Apex Frozen Foods Ltd,Active,B ,10,INE346W01013,Seafood,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Seafood
540693,Shish Industries Limited,SHISHIND,Shish Industries Ltd,Active,B ,10,INE145Y01015,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
