Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-03-07 00:00:00+05:30,193.3,193.3,193.3,193.3,0,0.0,0.0
2024-03-08 00:00:00+05:30,193.3,193.3,193.3,193.3,0,0.0,0.0
2024-03-11 00:00:00+05:30,188.15,188.15,188.15,188.15,0,0.0,0.0
2024-03-12 00:00:00+05:30,188.1,188.1,188.1,188.1,0,0.0,0.0
2024-03-13 00:00:00+05:30,188.05,188.05,188.05,188.05,0,0.0,0.0
2024-03-14 00:00:00+05:30,185.05,185.05,185.05,185.05,0,0.0,0.0
2024-03-15 00:00:00+05:30,188.0,188.0,188.0,188.0,0,0.0,0.0
2024-03-18 00:00:00+05:30,190.4,190.4,190.4,190.4,0,0.0,0.0
2024-03-19 00:00:00+05:30,190.35,190.35,190.35,190.35,0,0.0,0.0
2024-03-20 00:00:00+05:30,190.3,190.3,190.3,190.3,0,0.0,0.0
2024-03-21 00:00:00+05:30,190.3,190.3,190.3,190.3,0,0.0,0.0
2024-03-22 00:00:00+05:30,189.25,189.25,189.25,189.25,0,0.0,0.0
2024-03-25 00:00:00+05:30,189.15,189.15,189.15,189.15,0,0.0,0.0
2024-03-26 00:00:00+05:30,189.1,189.1,189.1,189.1,0,0.0,0.0
2024-03-27 00:00:00+05:30,185.05,185.05,185.05,185.05,0,0.0,0.0
2024-03-28 00:00:00+05:30,186.35,186.35,186.35,186.35,0,0.0,0.0
2024-04-01 00:00:00+05:30,189.15,189.15,189.15,189.15,0,0.0,0.0
2024-04-02 00:00:00+05:30,189.05,189.05,189.05,189.05,0,0.0,0.0
2024-04-03 00:00:00+05:30,186.0,186.0,186.0,186.0,0,0.0,0.0
2024-04-04 00:00:00+05:30,193.5,193.5,193.5,193.5,0,0.0,0.0
2024-04-05 00:00:00+05:30,190.95,190.95,190.95,190.95,0,0.0,0.0
2024-04-08 00:00:00+05:30,187.8,187.8,187.8,187.8,0,0.0,0.0
2024-04-09 00:00:00+05:30,195.8,195.8,195.8,195.8,0,0.0,0.0
2024-04-10 00:00:00+05:30,192.75,192.75,192.75,192.75,0,0.0,0.0
2024-04-11 00:00:00+05:30,192.75,192.75,192.75,192.75,0,0.0,0.0
2024-04-12 00:00:00+05:30,193.7,193.7,193.7,193.7,0,0.0,0.0
2024-04-15 00:00:00+05:30,191.6,191.6,191.6,191.6,0,0.0,0.0
2024-04-16 00:00:00+05:30,190.55,190.55,190.55,190.55,0,0.0,0.0
2024-04-17 00:00:00+05:30,190.5,190.5,190.5,190.5,0,0.0,0.0
2024-04-18 00:00:00+05:30,190.45,190.45,190.45,190.45,0,0.0,0.0
2024-04-19 00:00:00+05:30,190.9,190.9,190.9,190.9,0,0.0,0.0
2024-04-22 00:00:00+05:30,189.8,189.8,189.8,189.8,0,0.0,0.0
2024-04-23 00:00:00+05:30,189.3,189.3,189.3,189.3,0,0.0,0.0
2024-04-24 00:00:00+05:30,188.25,188.25,188.25,188.25,0,0.0,0.0
2024-04-25 00:00:00+05:30,190.7,190.7,190.7,190.7,0,0.0,0.0
2024-04-26 00:00:00+05:30,190.15,190.15,190.15,190.15,0,0.0,0.0
2024-04-29 00:00:00+05:30,194.05,194.05,194.05,194.05,0,0.0,0.0
2024-04-30 00:00:00+05:30,193.0,193.0,193.0,193.0,0,0.0,0.0
2024-05-01 00:00:00+05:30,196.15,196.15,196.15,196.15,0,0.0,0.0
2024-05-02 00:00:00+05:30,193.1,193.1,193.1,193.1,0,0.0,0.0
2024-05-03 00:00:00+05:30,193.55,193.55,193.55,193.55,0,0.0,0.0
2024-05-06 00:00:00+05:30,195.95,195.95,195.95,195.95,0,0.0,0.0
2024-05-07 00:00:00+05:30,197.45,197.45,197.45,197.45,0,0.0,0.0
2024-05-08 00:00:00+05:30,195.4,195.4,195.4,195.4,0,0.0,0.0
2024-05-09 00:00:00+05:30,194.85,194.85,194.85,194.85,0,0.0,0.0
2024-05-10 00:00:00+05:30,196.3,196.3,196.3,196.3,0,0.0,0.0
2024-05-13 00:00:00+05:30,195.95,195.95,195.95,195.95,0,0.0,0.0
2024-05-14 00:00:00+05:30,196.15,196.15,196.15,196.15,0,0.0,0.0
2024-05-15 00:00:00+05:30,196.65,196.65,196.65,196.65,0,0.0,0.0
2024-05-16 00:00:00+05:30,196.1,196.1,196.1,196.1,0,0.0,0.0
2024-05-17 00:00:00+05:30,197.05,197.05,197.05,197.05,0,0.0,0.0
2024-05-20 00:00:00+05:30,196.95,196.95,196.95,196.95,0,0.0,0.0
2024-05-21 00:00:00+05:30,197.05,197.05,197.05,197.05,0,0.0,0.0
2024-05-22 00:00:00+05:30,197.85,197.85,197.85,197.85,0,0.0,0.0
2024-05-23 00:00:00+05:30,199.35,199.35,199.35,199.35,0,0.0,0.0
2024-05-24 00:00:00+05:30,193.8,193.8,193.8,193.8,0,0.0,0.0
2024-05-27 00:00:00+05:30,193.65,193.65,193.65,193.65,0,0.0,0.0
2024-05-28 00:00:00+05:30,194.15,194.15,194.15,194.15,0,0.0,0.0
2024-05-29 00:00:00+05:30,192.1,192.1,192.1,192.1,0,0.0,0.0
2024-05-30 00:00:00+05:30,193.55,193.55,193.55,193.55,0,0.0,0.0
2024-05-31 00:00:00+05:30,193.15,193.15,193.15,193.15,0,0.0,0.0
2024-06-03 00:00:00+05:30,194.45,194.45,194.45,194.45,0,0.0,0.0
2024-06-04 00:00:00+05:30,194.9,194.9,194.9,194.9,0,0.0,0.0
2024-06-05 00:00:00+05:30,198.9,198.9,198.9,198.9,0,0.0,0.0
2024-06-06 00:00:00+05:30,196.85,196.85,196.85,196.85,0,0.0,0.0
2024-06-07 00:00:00+05:30,196.8,196.8,196.8,196.8,0,0.0,0.0
2024-06-10 00:00:00+05:30,196.7,196.7,196.7,196.7,0,0.0,0.0
2024-06-11 00:00:00+05:30,198.65,198.65,198.65,198.65,0,0.0,0.0
2024-06-12 00:00:00+05:30,193.6,193.6,193.6,193.6,0,0.0,0.0
2024-06-13 00:00:00+05:30,191.1,191.1,191.1,191.1,0,0.0,0.0
2024-06-14 00:00:00+05:30,193.55,193.55,193.55,193.55,0,0.0,0.0
2024-06-17 00:00:00+05:30,193.45,193.45,193.45,193.45,0,0.0,0.0
2024-06-18 00:00:00+05:30,193.4,193.4,193.4,193.4,0,0.0,0.0
2024-06-19 00:00:00+05:30,193.35,193.35,193.35,193.35,0,0.0,0.0
2024-06-20 00:00:00+05:30,194.3,194.3,194.3,194.3,0,0.0,0.0
2024-06-21 00:00:00+05:30,194.3,194.3,194.3,194.3,0,0.0,0.0
2024-06-24 00:00:00+05:30,194.15,194.15,194.15,194.15,0,0.0,0.0
2024-06-25 00:00:00+05:30,194.15,194.15,194.15,194.15,0,0.0,0.0
2024-06-26 00:00:00+05:30,194.1,194.1,194.1,194.1,0,0.0,0.0
2024-06-27 00:00:00+05:30,194.05,194.05,194.05,194.05,0,0.0,0.0
2024-06-28 00:00:00+05:30,194.35,194.35,194.35,194.35,0,0.0,0.0
2024-07-01 00:00:00+05:30,199.2,199.2,199.2,199.2,0,0.0,0.0
2024-07-02 00:00:00+05:30,199.15,199.15,199.15,199.15,0,0.0,0.0
2024-07-03 00:00:00+05:30,197.1,197.1,197.1,197.1,0,0.0,0.0
2024-07-04 00:00:00+05:30,197.05,197.05,197.05,197.05,0,0.0,0.0
2024-07-05 00:00:00+05:30,197.0,197.0,197.0,197.0,0,0.0,0.0
2024-07-08 00:00:00+05:30,197.9,197.9,197.9,197.9,0,0.0,0.0
2024-07-09 00:00:00+05:30,197.85,197.85,197.85,197.85,0,0.0,0.0
2024-07-10 00:00:00+05:30,196.8,196.8,196.8,196.8,0,0.0,0.0
2024-07-11 00:00:00+05:30,196.8,196.8,196.8,196.8,0,0.0,0.0
2024-07-12 00:00:00+05:30,199.25,199.25,199.25,199.25,0,0.0,0.0
2024-07-15 00:00:00+05:30,196.65,196.65,196.65,196.65,0,0.0,0.0
2024-07-16 00:00:00+05:30,196.6,196.6,196.6,196.6,0,0.0,0.0
2024-07-17 00:00:00+05:30,196.55,196.55,196.55,196.55,0,0.0,0.0
2024-07-18 00:00:00+05:30,196.5,196.5,196.5,196.5,0,0.0,0.0
2024-07-19 00:00:00+05:30,196.5,196.5,196.5,196.5,0,0.0,0.0
2024-07-22 00:00:00+05:30,194.35,194.35,194.35,194.35,0,0.0,0.0
2024-07-23 00:00:00+05:30,193.3,193.3,193.3,193.3,0,0.0,0.0
2024-07-24 00:00:00+05:30,192.3,192.3,192.3,192.3,0,0.0,0.0
2024-07-25 00:00:00+05:30,191.75,191.75,191.75,191.75,0,0.0,0.0
2024-07-26 00:00:00+05:30,192.2,192.2,192.2,192.2,0,0.0,0.0
2024-07-29 00:00:00+05:30,195.1,195.1,195.1,195.1,0,0.0,0.0
2024-07-30 00:00:00+05:30,192.05,192.05,192.05,192.05,0,0.0,0.0
2024-07-31 00:00:00+05:30,193.35,193.35,193.35,193.35,0,0.0,0.0
2024-08-01 00:00:00+05:30,192.1,192.1,192.1,192.1,0,0.0,0.0
2024-08-02 00:00:00+05:30,196.6,196.6,196.6,196.6,0,0.0,0.0
2024-08-05 00:00:00+05:30,195.95,195.95,195.95,195.95,0,0.0,0.0
2024-08-06 00:00:00+05:30,192.9,192.9,192.9,192.9,0,0.0,0.0
2024-08-07 00:00:00+05:30,195.9,195.9,195.9,195.9,0,0.0,0.0
2024-08-08 00:00:00+05:30,192.85,192.85,192.85,192.85,0,0.0,0.0
2024-08-09 00:00:00+05:30,195.8,195.8,195.8,195.8,0,0.0,0.0
2024-08-12 00:00:00+05:30,195.7,195.7,195.7,195.7,0,0.0,0.0
2024-08-13 00:00:00+05:30,189.9,189.9,189.9,189.9,0,0.0,0.0
2024-08-14 00:00:00+05:30,192.6,192.6,192.6,192.6,0,0.0,0.0
2024-08-16 00:00:00+05:30,190.05,190.05,190.05,190.05,0,0.0,0.0
2024-08-19 00:00:00+05:30,188.4,188.4,188.4,188.4,0,0.0,0.0
2024-08-20 00:00:00+05:30,190.4,190.4,190.4,190.4,0,0.0,0.0
2024-08-21 00:00:00+05:30,190.35,190.35,190.35,190.35,0,0.0,0.0
2024-08-22 00:00:00+05:30,190.3,190.3,190.3,190.3,0,0.0,0.0
2024-08-23 00:00:00+05:30,189.8,189.8,189.8,189.8,0,0.0,0.0
2024-08-26 00:00:00+05:30,190.15,190.15,190.15,190.15,0,0.0,0.0
2024-08-27 00:00:00+05:30,185.15,185.15,185.15,185.15,0,0.0,0.0
2024-08-28 00:00:00+05:30,187.6,187.6,187.6,187.6,0,0.0,0.0
2024-08-29 00:00:00+05:30,184.05,184.05,184.05,184.05,0,0.0,0.0
2024-08-30 00:00:00+05:30,185.15,185.15,185.15,185.15,0,0.0,0.0
2024-09-02 00:00:00+05:30,188.55,188.55,188.55,188.55,0,0.0,0.0
2024-09-03 00:00:00+05:30,184.5,184.5,184.5,184.5,0,0.0,0.0
2024-09-04 00:00:00+05:30,183.95,183.95,183.95,183.95,0,0.0,0.0
2024-09-05 00:00:00+05:30,182.9,182.9,182.9,182.9,0,0.0,0.0
2024-09-06 00:00:00+05:30,182.85,182.85,182.85,182.85,0,0.0,0.0
2024-09-09 00:00:00+05:30,191.8,191.8,191.8,191.8,0,0.0,0.0
2024-09-10 00:00:00+05:30,190.75,190.75,190.75,190.75,0,0.0,0.0
2024-09-11 00:00:00+05:30,191.75,191.75,191.75,191.75,0,0.0,0.0
2024-09-12 00:00:00+05:30,188.2,188.2,188.2,188.2,0,0.0,0.0
2024-09-13 00:00:00+05:30,188.15,188.15,188.15,188.15,0,0.0,0.0
2024-09-16 00:00:00+05:30,190.55,190.55,190.55,190.55,0,0.0,0.0
2024-09-17 00:00:00+05:30,185.5,185.5,185.5,185.5,0,0.0,0.0
2024-09-18 00:00:00+05:30,190.45,190.45,190.45,190.45,0,0.0,0.0
2024-09-19 00:00:00+05:30,191.45,191.45,191.45,191.45,0,0.0,0.0
2024-09-20 00:00:00+05:30,188.4,188.4,188.4,188.4,0,0.0,0.0
2024-09-23 00:00:00+05:30,190.3,190.3,190.3,190.3,0,0.0,0.0
2024-09-24 00:00:00+05:30,190.25,190.25,190.25,190.25,0,0.0,0.0
2024-09-25 00:00:00+05:30,191.2,191.2,191.2,191.2,0,0.0,0.0
2024-09-26 00:00:00+05:30,191.15,191.15,191.15,191.15,0,0.0,0.0
2024-09-27 00:00:00+05:30,191.15,191.15,191.15,191.15,0,0.0,0.0
2024-09-30 00:00:00+05:30,191.0,191.0,191.0,191.0,0,0.0,0.0
2024-10-01 00:00:00+05:30,192.15,192.15,192.15,192.15,0,0.0,0.0
2024-10-03 00:00:00+05:30,194.05,194.05,194.05,194.05,0,0.0,0.0
2024-10-04 00:00:00+05:30,192.0,192.0,192.0,192.0,0,0.0,0.0
2024-10-07 00:00:00+05:30,191.9,191.9,191.9,191.9,0,0.0,0.0
2024-10-08 00:00:00+05:30,191.85,191.85,191.85,191.85,0,0.0,0.0
2024-10-09 00:00:00+05:30,195.85,195.85,195.85,195.85,0,0.0,0.0
2024-10-10 00:00:00+05:30,190.8,190.8,190.8,190.8,0,0.0,0.0
2024-10-11 00:00:00+05:30,189.75,189.75,189.75,189.75,0,0.0,0.0
2024-10-14 00:00:00+05:30,190.65,190.65,190.65,190.65,0,0.0,0.0
2024-10-15 00:00:00+05:30,186.1,186.1,186.1,186.1,0,0.0,0.0
2024-10-16 00:00:00+05:30,189.55,189.55,189.55,189.55,0,0.0,0.0
2024-10-17 00:00:00+05:30,184.0,184.0,184.0,184.0,0,0.0,0.0
2024-10-18 00:00:00+05:30,183.5,183.5,183.5,183.5,0,0.0,0.0
2024-10-21 00:00:00+05:30,184.4,184.4,184.4,184.4,0,0.0,0.0
2024-10-22 00:00:00+05:30,184.85,184.85,184.85,184.85,0,0.0,0.0
2024-10-23 00:00:00+05:30,183.8,183.8,183.8,183.8,0,0.0,0.0
2024-10-24 00:00:00+05:30,183.75,183.75,183.75,183.75,0,0.0,0.0
2024-10-25 00:00:00+05:30,186.25,186.25,186.25,186.25,0,0.0,0.0
2024-10-28 00:00:00+05:30,185.15,185.15,185.15,185.15,0,0.0,0.0
2024-10-29 00:00:00+05:30,184.1,184.1,184.1,184.1,0,0.0,0.0
2024-10-30 00:00:00+05:30,186.05,186.05,186.05,186.05,0,0.0,0.0
2024-10-31 00:00:00+05:30,185.0,185.0,185.0,185.0,0,0.0,0.0
2024-11-01 00:00:00+05:30,186.05,186.05,186.05,186.05,0,0.0,0.0
2024-11-04 00:00:00+05:30,184.9,184.9,184.9,184.9,0,0.0,0.0
2024-11-05 00:00:00+05:30,184.4,184.4,184.4,184.4,0,0.0,0.0
2024-11-06 00:00:00+05:30,184.35,184.35,184.35,184.35,0,0.0,0.0
2024-11-07 00:00:00+05:30,184.8,184.8,184.8,184.8,0,0.0,0.0
2024-11-08 00:00:00+05:30,184.25,184.25,184.25,184.25,0,0.0,0.0
2024-11-11 00:00:00+05:30,184.15,184.15,184.15,184.15,0,0.0,0.0
2024-11-12 00:00:00+05:30,183.6,183.6,183.6,183.6,0,0.0,0.0
2024-11-13 00:00:00+05:30,183.6,183.6,183.6,183.6,0,0.0,0.0
2024-11-14 00:00:00+05:30,185.55,185.55,185.55,185.55,0,0.0,0.0
2024-11-15 00:00:00+05:30,185.5,185.5,185.5,185.5,0,0.0,0.0
2024-11-18 00:00:00+05:30,186.4,186.4,186.4,186.4,0,0.0,0.0
2024-11-19 00:00:00+05:30,183.9,183.9,183.9,183.9,0,0.0,0.0
2024-11-20 00:00:00+05:30,183.85,183.85,183.85,183.85,0,0.0,0.0
2024-11-21 00:00:00+05:30,188.3,188.3,188.3,188.3,0,0.0,0.0
2024-11-22 00:00:00+05:30,181.25,181.25,181.25,181.25,0,0.0,0.0
2024-11-25 00:00:00+05:30,181.15,181.15,181.15,181.15,0,0.0,0.0
2024-11-26 00:00:00+05:30,179.6,179.6,179.6,179.6,0,0.0,0.0
2024-11-27 00:00:00+05:30,180.6,180.6,180.6,180.6,0,0.0,0.0
2024-11-28 00:00:00+05:30,183.05,183.05,183.05,183.05,0,0.0,0.0
2024-11-29 00:00:00+05:30,181.5,181.5,181.5,181.5,0,0.0,0.0
2024-12-02 00:00:00+05:30,184.05,184.05,184.05,184.05,0,0.0,0.0
2024-12-03 00:00:00+05:30,182.0,182.0,182.0,182.0,0,0.0,0.0
2024-12-04 00:00:00+05:30,184.5,184.5,184.5,184.5,0,0.0,0.0
2024-12-05 00:00:00+05:30,184.45,184.45,184.45,184.45,0,0.0,0.0
2024-12-06 00:00:00+05:30,186.4,186.4,186.4,186.4,0,0.0,0.0
2024-12-09 00:00:00+05:30,184.8,184.8,184.8,184.8,0,0.0,0.0
2024-12-10 00:00:00+05:30,183.75,183.75,183.75,183.75,0,0.0,0.0
2024-12-11 00:00:00+05:30,183.75,183.75,183.75,183.75,0,0.0,0.0
2024-12-12 00:00:00+05:30,183.2,183.2,183.2,183.2,0,0.0,0.0
2024-12-13 00:00:00+05:30,185.65,185.65,185.65,185.65,0,0.0,0.0
2024-12-16 00:00:00+05:30,183.55,183.55,183.55,183.55,0,0.0,0.0
2024-12-17 00:00:00+05:30,179.5,179.5,179.5,179.5,0,0.0,0.0
2024-12-18 00:00:00+05:30,179.45,179.45,179.45,179.45,0,0.0,0.0
2024-12-19 00:00:00+05:30,178.45,178.45,178.45,178.45,0,0.0,0.0
2024-12-20 00:00:00+05:30,179.4,179.4,179.4,179.4,0,0.0,0.0
2024-12-23 00:00:00+05:30,180.8,180.8,180.8,180.8,0,0.0,0.0
2024-12-24 00:00:00+05:30,183.25,183.25,183.25,183.25,0,0.0,0.0
2024-12-26 00:00:00+05:30,183.2,183.2,183.2,183.2,0,0.0,0.0
2024-12-27 00:00:00+05:30,183.15,183.15,183.15,183.15,0,0.0,0.0
2024-12-30 00:00:00+05:30,179.05,179.05,179.05,179.05,0,0.0,0.0
2024-12-31 00:00:00+05:30,180.85,180.85,180.85,180.85,0,0.0,0.0
2025-01-01 00:00:00+05:30,181.05,181.05,181.05,181.05,0,0.0,0.0
2025-01-02 00:00:00+05:30,181.05,181.05,181.05,181.05,0,0.0,0.0
2025-01-03 00:00:00+05:30,178.0,178.0,178.0,178.0,0,0.0,0.0
2025-01-06 00:00:00+05:30,177.9,177.9,177.9,177.9,0,0.0,0.0
2025-01-07 00:00:00+05:30,177.85,177.85,177.85,177.85,0,0.0,0.0
2025-01-08 00:00:00+05:30,177.8,177.8,177.8,177.8,0,0.0,0.0
2025-01-09 00:00:00+05:30,177.8,177.8,177.8,177.8,0,0.0,0.0
2025-01-10 00:00:00+05:30,177.75,177.75,177.75,177.75,0,0.0,0.0
2025-01-13 00:00:00+05:30,177.65,177.65,177.65,177.65,0,0.0,0.0
2025-01-14 00:00:00+05:30,177.6,177.6,177.6,177.6,0,0.0,0.0
2025-01-15 00:00:00+05:30,177.55,177.55,177.55,177.55,0,0.0,0.0
2025-01-16 00:00:00+05:30,177.55,177.55,177.55,177.55,0,0.0,0.0
2025-01-17 00:00:00+05:30,177.5,177.5,177.5,177.5,0,0.0,0.0
2025-01-20 00:00:00+05:30,177.4,177.4,177.4,177.4,0,0.0,0.0
2025-01-21 00:00:00+05:30,177.35,177.35,177.35,177.35,0,0.0,0.0
2025-01-22 00:00:00+05:30,177.35,177.35,177.35,177.35,0,0.0,0.0
2025-01-23 00:00:00+05:30,177.3,177.3,177.3,177.3,0,0.0,0.0
2025-01-24 00:00:00+05:30,177.25,177.25,177.25,177.25,0,0.0,0.0
2025-01-27 00:00:00+05:30,177.15,177.15,177.15,177.15,0,0.0,0.0
2025-01-28 00:00:00+05:30,177.1,177.1,177.1,177.1,0,0.0,0.0
2025-01-29 00:00:00+05:30,177.1,177.1,177.1,177.1,0,0.0,0.0
2025-01-30 00:00:00+05:30,177.05,177.05,177.05,177.05,0,0.0,0.0
2025-01-31 00:00:00+05:30,177.0,177.0,177.0,177.0,0,0.0,0.0
2025-02-01 00:00:00+05:30,177.95,177.95,177.95,177.95,0,0.0,0.0
2025-02-03 00:00:00+05:30,177.9,177.9,177.9,177.9,0,0.0,0.0
2025-02-04 00:00:00+05:30,177.85,177.85,177.85,177.85,0,0.0,0.0
2025-02-05 00:00:00+05:30,177.8,177.8,177.8,177.8,0,0.0,0.0
2025-02-06 00:00:00+05:30,177.8,177.8,177.8,177.8,0,0.0,0.0
2025-02-07 00:00:00+05:30,177.75,177.75,177.75,177.75,0,0.0,0.0
2025-02-10 00:00:00+05:30,177.65,177.65,177.65,177.65,0,0.0,0.0
2025-02-11 00:00:00+05:30,177.6,177.6,177.6,177.6,0,0.0,0.0
2025-02-12 00:00:00+05:30,177.55,177.55,177.55,177.55,0,0.0,0.0
2025-02-13 00:00:00+05:30,177.55,177.55,177.55,177.55,0,0.0,0.0
2025-02-14 00:00:00+05:30,177.5,177.5,177.5,177.5,0,0.0,0.0
2025-02-17 00:00:00+05:30,177.4,177.4,177.4,177.4,0,0.0,0.0
2025-02-18 00:00:00+05:30,177.35,177.35,177.35,177.35,0,0.0,0.0
